submitted,resolution_name,resolution_id
Catharanthus rosesus (L.) G. Don,Catharanthus roseus,77880-1
Malouetia glandilufera Miers,Malouetia glandulifera,79898-1
Marsdenia cundurgano Rchb. f.,Marsdenia cundurango,99126-1
Petchia eythrocarpa (Vatke) Leeuwenb.,Petchia erythrocarpa,997252-1
Rauvolfia pentapylla Huber ex Ducke,Rauvolfia pentaphylla,217935-2
Tabernaemontana laete Mart.,Tabernaemontana laeta,82175-1
Ciliosemina peduculata (H. Karst.) Antonelli,Ciliosemina pedunculata,77065717-1
Hillia tetandra Sw.,Hillia tetrandra,753106-1
Prismatomeris tetandra subsp. malayana (Ridl.) J. T. Johanss.,Prismatomeris tetrandra subsp. malayana,953920-1
Neonauclea observifolia (Valeton) Merr. & L. M. Perry,Neonauclea obversifolia,757425-1
